CaseID,ActivityID,CompleteTimestamp
1,1,2017-01-09 09:17:18
1,2,2017-01-09 09:18:00
1,3,2017-01-10 12:42:32
1,1,2017-03-03 09:51:13
1,4,2017-03-03 09:51:42
1,2,2017-03-06 08:55:50
1,5,2017-03-08 11:22:42
1,6,2017-03-16 17:31:12
2,1,2017-01-09 10:30:48
2,2,2017-01-09 10:31:42
2,5,2017-01-10 10:52:03
2,6,2017-01-12 17:31:32
3,1,2017-01-09 11:41:36
3,7,2017-01-09 11:42:10
3,8,2017-01-09 15:56:52
3,1,2017-01-10 10:02:52
3,2,2017-01-10 10:03:15
3,5,2017-01-10 13:34:59
3,6,2017-01-12 17:31:32
4,1,2017-01-09 13:21:51
4,2,2017-01-09 13:23:17
4,3,2017-01-10 15:34:19
4,1,2017-06-12 12:03:33
4,4,2017-06-12 12:04:02
4,2,2017-06-12 12:14:51
4,5,2017-06-13 13:02:08
4,6,2017-06-15 17:31:12
5,1,2017-01-09 13:26:20
5,2,2017-01-09 13:26:22
5,3,2017-01-10 15:33:09
5,1,2017-06-12 12:08:05
5,4,2017-06-12 12:08:14
5,2,2017-06-12 12:13:06
5,5,2017-06-13 13:00:10
5,6,2017-06-15 17:31:12
6,1,2017-01-10 14:56:59
6,2,2017-01-10 14:57:53
6,5,2017-01-25 11:35:31
6,6,2017-01-30 17:31:40
7,1,2017-01-10 15:02:39
7,2,2017-01-10 15:02:53
7,5,2017-01-25 11:34:47
7,6,2017-01-30 17:31:40
7,1,2017-01-10 15:18:56
7,4,2017-01-10 15:19:04
7,2,2017-01-10 15:26:13
7,5,2017-01-10 15:30:50
7,6,2017-01-12 17:31:32
8,1,2017-01-10 17:19:05
8,2,2017-01-11 09:54:26
8,5,2017-01-12 10:04:27
8,6,2017-01-16 17:32:18
9,1,2017-01-11 11:48:40
9,2,2017-01-11 11:48:51
9,5,2017-01-25 11:33:08
9,6,2017-01-30 17:31:40
10,1,2017-01-12 09:07:24
10,2,2017-01-12 09:08:56
10,5,2017-01-13 14:13:51
10,6,2017-01-16 17:32:18
10,1,2017-01-12 11:12:33
10,2,2017-01-12 11:12:51
10,5,2017-01-13 14:12:38
10,6,2017-01-16 17:32:18
11,1,2017-01-12 11:38:27
11,4,2017-01-12 11:39:17
11,2,2017-01-17 10:42:06
11,5,2017-01-19 10:51:49
11,6,2017-01-23 17:32:19
12,1,2017-01-12 14:52:53
12,9,2017-01-12 14:53:16
12,10,2017-01-17 10:47:38
12,5,2017-01-17 15:34:01
12,6,2017-01-19 17:31:50
13,1,2017-01-12 16:48:17
13,2,2017-01-12 16:48:22
13,5,2017-01-13 14:11:33
13,6,2017-01-16 17:32:18
14,1,2017-01-13 09:36:06
14,2,2017-01-13 09:36:18
14,3,2017-01-16 09:52:47
14,1,2017-01-16 10:08:48
