case:Project,concept:name,time:timestamp
project 148216,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 09:17:18+00:00
project 148216,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 09:18:00+00:00
project 148216,Request For Payment REJECTED by MISSING,2017-01-10 12:42:32+00:00
project 148216,Request For Payment SUBMITTED by EMPLOYEE,2017-03-03 09:51:13+00:00
project 148216,Request For Payment APPROVED by PRE_APPROVER,2017-03-03 09:51:42+00:00
project 148216,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 08:55:50+00:00
project 148216,Request Payment,2017-03-08 11:22:42+00:00
project 148216,Payment Handled,2017-03-16 17:31:12+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 10:30:48+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 10:31:42+00:00
project 147843,Request Payment,2017-01-10 10:52:03+00:00
project 147843,Payment Handled,2017-01-12 17:31:32+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 11:41:36+00:00
project 147556,Request For Payment REJECTED by SUPERVISOR,2017-01-09 11:42:10+00:00
project 147556,Request For Payment REJECTED by EMPLOYEE,2017-01-09 15:56:52+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 10:02:52+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 10:03:15+00:00
project 147556,Request Payment,2017-01-10 13:34:59+00:00
project 147556,Payment Handled,2017-01-12 17:31:32+00:00
project 147649,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:21:51+00:00
project 147649,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:23:17+00:00
project 147649,Request For Payment REJECTED by MISSING,2017-01-10 15:34:19+00:00
project 147649,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:03:33+00:00
project 147649,Request For Payment APPROVED by PRE_APPROVER,2017-06-12 12:04:02+00:00
project 147649,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:14:51+00:00
project 147649,Request Payment,2017-06-13 13:02:08+00:00
project 147649,Payment Handled,2017-06-15 17:31:12+00:00
project 149147,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:26:20+00:00
project 149147,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:26:22+00:00
project 149147,Request For Payment REJECTED by MISSING,2017-01-10 15:33:09+00:00
project 149147,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:08:05+00:00
project 149147,Request For Payment APPROVED by PRE_APPROVER,2017-06-12 12:08:14+00:00
project 149147,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:13:06+00:00
project 149147,Request Payment,2017-06-13 13:00:10+00:00
project 149147,Payment Handled,2017-06-15 17:31:12+00:00
